timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753567685041,22880,Homepage,200,OK,Moderate Load 2-7,text,true,,90925,119,26,36,http://localhost:3000/,11399,0,1
1753567687437,20480,Homepage,200,OK,Moderate Load 2-9,text,true,,90874,119,26,36,http://localhost:3000/,9009,0,1
1753567691039,16865,Homepage,200,OK,Moderate Load 2-12,text,true,,90925,119,26,36,http://localhost:3000/,5414,0,1
1753567689812,18101,Homepage,200,OK,Light Load 1-5,text,true,,90925,119,10,36,http://localhost:3000/,6638,0,0
1753567677962,29961,Homepage,200,OK,Light Load 1-1,text,true,,90925,119,10,36,http://localhost:3000/,18493,0,41
1753567679036,28891,Homepage,200,OK,Moderate Load 2-2,text,true,,90925,119,26,36,http://localhost:3000/,17394,0,0
1753567681433,26497,Homepage,200,OK,Moderate Load 2-4,text,true,,90925,119,26,36,http://localhost:3000/,14997,0,1
1753567680234,27699,Homepage,200,OK,Moderate Load 2-3,text,true,,90925,119,26,36,http://localhost:3000/,16196,0,1
1753567682635,25302,Homepage,200,OK,Moderate Load 2-5,text,true,,90925,119,26,36,http://localhost:3000/,13797,0,1
1753567680842,27098,Homepage,200,OK,Light Load 1-2,text,true,,90680,119,10,36,http://localhost:3000/,15588,0,2
1753567686229,21716,Homepage,200,OK,Moderate Load 2-8,text,true,,90925,119,26,36,http://localhost:3000/,10214,0,1
1753567683812,24136,Homepage,200,OK,Light Load 1-3,text,true,,90925,119,10,36,http://localhost:3000/,12626,0,1
1753567688626,19326,Homepage,200,OK,Moderate Load 2-10,text,true,,90925,119,26,36,http://localhost:3000/,7822,0,1
1753567692226,15729,Homepage,200,OK,Moderate Load 2-13,text,true,,90925,119,26,36,http://localhost:3000/,4229,0,1
1753567689839,18119,Homepage,200,OK,Moderate Load 2-11,text,true,,90925,119,26,36,http://localhost:3000/,6613,0,1
1753567683835,24127,Homepage,200,OK,Moderate Load 2-6,text,true,,90537,119,26,36,http://localhost:3000/,12601,0,1
1753567686833,21136,Homepage,200,OK,Light Load 1-4,text,true,,90933,119,10,36,http://localhost:3000/,9612,0,2
1753567677962,30010,Homepage,200,OK,Moderate Load 2-1,text,true,,90739,119,26,36,http://localhost:3000/,18467,0,41
